placekey,location_name,lat,lng,id_num
223-222@63g-2d3-btv,Burger King,36.1018,-79.8227,95
zzw-222@5s8-ckr-z4v,Burger King,44.9423,-93.2781,96
22d-222@62j-sgk-4n5,Burger King,42.3532,-71.135,97
zzw-222@5pw-6cq-835,Burger King,41.7945,-87.723,98
222-222@8dx-77b-bkz,Burger King,30.4509,-91.1396,99
227-222@5sb-8d3-q4v,Burger King,42.0304,-87.8946,100
225-222@5sb-7x8-dqf,Burger King,41.8595,-88.0632,101
222-222@5qw-t46-dvz,Burger King,32.7866,-96.8562,102
227-222@5sb-dgr-st9,Burger King,42.3806,-87.8556,103
223-222@5pw-2nt-7yv,Burger King,41.7483,-87.7978,104
223-222@8dy-qv9-8y9,Burger King,29.9123,-90.0511,105
222-222@63g-2cb-ks5,Burger King,36.1079,-79.7493,106
226-222@5pw-2vh-p7q,Burger King,41.8081,-88.021,107
222-222@5pt-y92-6ff,Burger King,40.1128,-88.283,108
zzw-222@8gh-5sn-4jv,Burger King,34.035,-81.0039,109
223-222@8gg-r6x-6x5,Burger King,34.818,-82.4196,110
zzy-222@8g7-46z-tn5,Burger King,33.8204,-84.388,111
222-222@8gd-q22-6tv,Burger King,32.0444,-81.0723,112
222-222@62k-nsj-c89,Burger King,42.0721,-71.0435,113
226-222@63s-cyk-s5z,Burger King,40.0949,-75.2921,114
223-222@8dx-7c4-j9z,Burger King,30.498,-91.1538,115
222-222@5pw-6d9-s5z,Burger King,41.7365,-87.6232,116
223-222@8gc-7mz-45f,Burger King,32.9055,-80.0206,117
22s-222@5sb-85g-f9f,Burger King,41.7696,-88.1482,118
zzw-22j@5pw-2by-z9f,Burger King,41.5249,-88.1245,119
229-222@8dy-rfy-3bk,Burger King,30.0015,-90.1322,120
222-222@5pk-nbc-qzz,Burger King,38.6321,-90.3459,121
22j-222@5pw-694-52k,Burger King,42.0193,-87.688,122
222-222@63r-v7r-x5z,Burger King,38.8536,-77.3192,123
222-222@5qw-t46-dvz,Burger King,32.7995,-96.7765,124
zzw-222@628-xv8-85f,Burger King,41.5636,-73.0542,125
222-222@8gf-hts-49z,Burger King,34.9641,-81.9424,126
22k-222@5pw-67z-gp9,Burger King,41.8426,-87.7052,127
222-222@5pb-kxx-3h5,Burger King,44.8265,-93.28,128
227-222@5sb-7wh-ct9,Burger King,41.8692,-87.9357,129
223-222@8dx-6xt-68v,Burger King,30.4198,-91.1775,130
22s-222@5pw-69c-47q,Burger King,41.9559,-87.7501,131
223-222@5pw-68t-swk,Burger King,41.8651,-87.7915,132
222-222@8fc-9qb-dy9,Burger King,29.7895,-95.4097,133
229-222@5pw-6rj-dvz,Burger King,41.9955,-87.7155,134
223-222@627-s2z-j35,Burger King,40.7099,-73.6145,135
zzw-222@5sb-7yt-m8v,Burger King,41.8897,-87.9923,136
222-222@8g7-9yy-9j9,Burger King,33.4758,-81.9994,137
