unique_id,location_name,lat,lng
178,Burger King,42.0796,-86.4364
179,Burger King,42.9857,-85.6982
180,Burger King,42.427,-83.3342
181,Burger King,41.9097,-87.7495
182,Burger King,32.8079,-83.6632
183,Burger King,40.6432,-75.3462
184,Burger King,34.8816,-82.3518
185,Burger King,35.7937,-78.6853
186,Burger King,41.4387,-81.8718
187,Burger King,37.2493,-79.9561
188,Burger King,29.7372,-95.3076
189,Burger King,42.2446,-70.9391
190,Burger King,43.0331,-83.6343
191,Burger King,39.1712,-76.6201
192,Burger King,39.9554,-82.8783
193,Burger King,29.9374,-90.0764
194,Burger King,32.4848,-84.9364
195,Burger King,40.1504,-75.3086
196,Burger King,29.726999999999997,-95.4184
197,Burger King,41.4196,-81.9135
198,Burger King,42.3613,-71.2393
199,Burger King,39.954,-83.0981
200,Burger King,30.6396,-88.1375
201,Burger King,30.0235,-90.0616
202,Burger King,41.6035,-83.626
203,Burger King,29.7941,-95.5435
204,Burger King,29.8286,-95.3755
205,Burger King,41.7048,-87.7401
206,Burger King,40.809,-73.6293
207,Burger King,38.7935,-90.3426
208,Burger King,39.0297,-76.9146
209,Burger King,39.74,-105.116
210,Burger King,39.8926,-82.9961
211,Burger King,42.016999999999996,-87.8428
212,Burger King,41.211999999999996,-80.7559
213,Burger King,40.032,-83.0008
214,Burger King,43.114,-76.1462
215,Burger King,36.0171,-78.91199999999999
216,Burger King,42.3032,-85.1993
217,Burger King,41.6426,-81.4681
218,Burger King,41.235,-96.0528
219,Burger King,40.742,-73.6613
220,Burger King,32.9098,-96.8565
221,Burger King,42.9127,-85.6507
222,Burger King,42.3693,-83.3215
223,Burger King,37.2904,-79.9887
224,Burger King,40.0181,-105.258
225,Burger King,41.04,-81.4911
226,Burger King,42.2528,-83.1943
227,Burger King,38.2526,-85.6506
228,Burger King,42.1543,-87.8033
229,Burger King,40.1519,-75.002
230,Burger King,38.7964,-77.1858
231,Burger King,43.0166,-88.0448
232,Burger King,40.6262,-75.4196
233,Burger King,40.0552,-75.0045
234,Burger King,42.2102,-70.9592
235,Burger King,34.8162,-87.6625
236,Burger King,42.266999999999996,-89.0787
237,Burger King,40.8325,-81.3879
238,Burger King,41.6955,-72.9096
239,Burger King,41.9294,-87.9784
240,Burger King,44.5203,-88.0662
241,Burger King,42.5753,-82.8881
242,Burger King,40.7962,-81.4268
243,Burger King,42.5336,-83.149
244,Burger King,42.6292,-71.3215
245,Burger King,41.4631,-75.6528
246,Burger King,41.3521,-72.0586
247,Burger King,39.8851,-104.978
248,Burger King,43.19,-86.2632
249,Burger King,33.4655,-86.8219
250,Burger King,40.6002,-79.9476
251,Burger King,42.4508,-82.9667
252,Burger King,40.6591,-74.2818
253,Burger King,39.7346,-75.6365
254,Burger King,41.6822,-86.8938
255,Burger King,41.3663,-82.0855
256,Burger King,34.0096,-85.9876
257,Burger King,34.6755,-92.3397
258,Burger King,40.4532,-86.9224
259,Burger King,40.2389,-74.2764
260,Burger King,41.7814,-71.4412
261,Burger King,41.2986,-96.0049
262,Burger King,40.5788,-75.4551
263,Burger King,40.4766,-86.1117
264,Burger King,39.3917,-74.532
265,Burger King,39.4365,-76.6246
266,Burger King,43.0163,-82.4504
267,Burger King,43.595,-83.8508
268,Burger King,42.9715,-85.64
269,Burger King,42.4894,-83.0279
270,Burger King,42.298,-83.2848
271,Burger King,39.353,-76.7558
272,Burger King,41.3872,-81.8532
273,Burger King,39.3997,-76.547
274,Burger King,41.2881,-96.0528
275,Burger King,30.2145,-92.022
276,Burger King,29.965999999999998,-90.0876
277,Burger King,33.4659,-111.92
278,Burger King,43.0479,-78.8768
279,Burger King,33.5097,-112.109
280,Burger King,42.4622,-83.3699
281,Burger King,41.513999999999996,-72.1063
282,Burger King,38.194,-85.807
283,Burger King,33.4947,-112.03399999999999
284,Burger King,40.9843,-74.1373
285,Burger King,32.8629,-79.9873
286,Burger King,42.2427,-83.5958
287,Burger King,38.5247,-90.3597
288,Burger King,32.0051,-81.12
289,Burger King,42.0357,-87.9409
290,Burger King,29.7449,-94.9501
291,Burger King,40.8965,-74.0383
292,Burger King,42.4507,-82.9377
293,Burger King,42.2561,-83.241
294,Burger King,43.0878,-78.9793
295,Burger King,41.2335,-80.4707
296,Burger King,35.5854,-82.602
297,Burger King,32.5054,-84.9735
298,Burger King,36.0955,-79.4078
299,Burger King,42.2826,-83.3699
300,Burger King,32.8161,-96.8101
301,Burger King,40.5426,-80.1919
302,Burger King,39.865,-75.4278
303,Burger King,39.3117,-76.4678
304,Burger King,41.4271,-82.1188
305,Burger King,40.2445,-74.7344
306,Burger King,41.035,-74.0327
307,Burger King,42.9135,-85.6983
308,Burger King,42.3564,-83.1971
309,Burger King,41.0769,-81.4964
310,Burger King,40.4228,-104.725
311,Burger King,42.9613,-78.6971
312,Burger King,41.6957,-83.6356
313,Burger King,42.2739,-71.0944
314,Burger King,41.8293,-87.8026
315,Burger King,42.2577,-88.0028
316,Burger King,41.1468,-95.9141
317,Burger King,29.8146,-95.4291
318,Burger King,39.7111,-105.053
319,Burger King,39.9533,-75.0622
320,Burger King,38.6462,-77.2642
321,Burger King,41.6538,-83.62200000000001
322,Burger King,40.0377,-76.2674
323,Burger King,36.541,-87.3652
324,Burger King,41.433,-82.7108
325,Burger King,39.9694,-75.298
326,Burger King,35.0608,-89.9057
327,Burger King,41.806999999999995,-73.1118
328,Burger King,33.725,-117.98899999999999
329,Burger King,41.477,-81.7701
330,Burger King,42.4475,-83.0775
331,Burger King,40.7628,-84.1494
332,Burger King,40.2692,-78.8571
333,Burger King,36.0224,-84.2452
334,Burger King,42.4624,-83.2783
335,Burger King,40.6247,-74.1442
336,Burger King,40.2441,-75.6152
337,Burger King,39.8282,-105.006
338,Burger King,40.8003,-77.84899999999999
339,Burger King,33.94,-117.97
340,Burger King,40.7593,-82.5619
341,Burger King,39.1506,-84.6276
342,Burger King,37.4036,-79.167
343,Burger King,42.4124,-82.9928
344,Burger King,34.0184,-118.111
345,Burger King,42.3159,-89.0749
346,Burger King,40.6294,-74.3076
347,Burger King,40.7258,-73.4814
348,Burger King,40.7409,-73.3216
349,Burger King,42.4887,-71.1004
350,Burger King,36.1446,-80.3003
351,Burger King,34.9265,-81.8782
352,Burger King,39.0934,-76.8548
353,Burger King,33.7599,-84.4026
354,Burger King,41.482,-72.81
355,Burger King,40.3236,-75.1306
356,Burger King,42.3258,-83.3206
357,Burger King,39.1824,-84.4266
358,Burger King,40.4016,-74.3104
